slug,original_title,bilibili_title,subtitle_count,supplement_source,subtitles
undated-030_head-of-claude-code-what-happens-after-coding-is-solved-boris-cherny,Head of Claude Code: What happens after coding is solved | Boris Cherny,当编程被终结后会发生什么？ | Boris Cherny（Claude Code 负责人）,1,,"N:\C\Youtube\downloads\视频资料最终合集_最终修正版_20260805_1215\当编程被解决后会发生什么｜Boris Cherny\字幕\Head of Claude Code What happens after coding is solved  Boris Cherny - Lenny's Podcast (1080p, h264, youtube)_final (1).srt"
undated-031_how-to-win-when-software-is-not-a-moat-evan-spiegel-snapchat,How to win when software is not a moat | Evan Spiegel (Snapchat CEO),当软件不再是护城河时如何取胜 | Evan Spiegel (Snapchat CEO),1,,N:\C\Youtube\downloads\视频资料最终合集_最终修正版_20260805_1215\当软件不再是护城河时如何取胜\字幕\How to win when software is not a moat ｜ Evan Spiegel (Snapchat CEO)_final.srt
undated-032_jensen-huang-the-mindset-that-built-nvidia-nvidia,Jensen Huang: The Mindset That Built NVIDIA,成就 NVIDIA 的思维方式 | 黄仁勋,1,,N:\C\Youtube\downloads\视频资料最终合集_最终修正版_20260805_1215\成就 NVIDIA 的思维方式\字幕\Jensen Huang： The Mindset That Built NVIDIA.OPUS4-8有翻译参考资料版.双语.中文在上.srt
undated-033_how-anthropic-s-product-team-moves-faster-than-anyone-else-cat-wu,"How Anthropic’s product team moves faster than anyone else | Cat Wu (Head of Product, Claude Code)",Anthropic 的产品团队如何保持业内领先的迭代速度 | Cat Wu（Claude Code 产品负责人）,0,,
undated-034_fde-the-1m-year-ai-job-explained-ai-fde,FDE: The $1M/Year AI Job Explained,揭秘年薪百万美元的 AI 工作：FDE | Vas,1,,N:\C\Youtube\downloads\视频资料最终合集_最终修正版_20260805_1215\揭秘年薪百万美元的 AI 工作：FDE\字幕\How To Talk To Users.OPUS4.8有翻译参考资料版.双语.中文在上.术语统一去多余标点版.srt
undated-035_kurt-vonnegut-on-the-shapes-of-stories,Kurt Vonnegut on the Shapes of Stories,故事的形状|Kurt Vonnegut,0,,
undated-036_3000-ai,一堂价值3000万的AI营销课,杰码商业:“龙虾”智能体爆火，AI如何重塑营销与获客引擎？【转载】,1,,N:\C\Youtube\downloads\视频资料最终合集_最终修正版_20260805_1215\杰码商业\字幕\翻译好的.srt
undated-037_inside-how-anthropic-is-building-the-next-claude-alex-albert-anthropic-claude,Inside How Anthropic Is Building the Next Claude | Alex Albert,深入了解 Anthropic 如何构建下一代 Claude | Alex Albert,1,,"N:\C\Youtube\downloads\视频资料最终合集_最终修正版_20260805_1215\深入了解 Anthropic 如何构建下一代 Claude\字幕\Inside How Anthropic Is Building the Next Claude  Alex Albert - Peter Yang (1080p, h264, youtube)_final.srt"
undated-038_inside-how-openai-uses-codex-to-do-product-work-rohan-varma-openai,Inside How OpenAI Uses Codex to Do Product Work | Rohan Varma,深入解析 OpenAI 内部如何用 Codex 做产品工作 | Rohan Varma,1,Inside How OpenAI Uses Codex to Do Product Work ｜ Rohan Varma (1.28),N:\C\Youtube\downloads\projects\Inside How OpenAI Uses Codex to Do Product Work ｜ Rohan Varma\10_翻译\Inside How OpenAI Uses Codex to Do Product Work.OPUS4.8无翻译参考资料版.双语.中文在上.参考资料检查去多余标点版.srt
undated-039_how-i-use-chatgpt-work-and-gpt-5-6-to-do-everything,How I Use ChatGPT Work and GPT-5.6 to Do Everything (Beginner Tutorial),用 ChatGPT Work 和 GPT-5.6 搭建个人 AI 工作流｜Peter Yang,1,How I Use ChatGPT Work and GPT-5.6 to Do Everything (Beginner Tutorial) (1.15),N:\C\Youtube\downloads\projects\How I Use ChatGPT Work and GPT-5.6 to Do Everything (Beginner Tutorial)\10_翻译\How I Use ChatGPT Work and GPT-5.OPUS4.8有翻译参考资料版.双语.中文在上.术语统一去多余标点版.srt
undated-040_agentic-search-for-context-engineering-leonie-monigatti-elastic,"Agentic Search for Context Engineering — Leonie Monigatti, Elastic",用于上下文工程的代理式搜索|Leonie Monigatti,1,,"N:\C\Youtube\downloads\视频资料最终合集_最终修正版_20260805_1215\用于上下文工程的代理式搜索\字幕\Agentic Search for Context Engineering — Leonie Monigatti, Elastic - AI Engineer (1080p, h264, youtube)_final.srt"
undated-041_really-big-test-time-compute-in-ai-changes-benchmarks-safety-and-research,"Really Big Test-Time Compute in AI Changes Benchmarks, Safety and Research with OpenAI's Noam Brown",超大规模测试时计算如何改变 AI 的基准测试、安全与研究 | Noam Brown(OpenAI）,0,,
undated-042_full-workshop-ai-observability-beyond-evals-danny-gollapalli-zubin-koticha-raindrop-ai,"Full Workshop: AI Observability Beyond Evals — Danny Gollapalli & Zubin Koticha, Raindrop",超越传统评估的 AI 可观测性 | Danny Gollapalli&Zubin Koticha,1,,"N:\C\Youtube\downloads\视频资料最终合集_最终修正版_20260805_1215\超越传统评估的 AI 可观测性\字幕\Everything You Need To Know About Agent Observability — Danny Gollapalli & Zubin Koticha, Raindrop - AI Engineer (1080p, h264, youtube)_final.srt"
undated-043_harness-engineering-how-to-build-software-when-humans-steer-agents-execute-ryan,"Harness Engineering: How to Build Software When Humans Steer, Agents Execute — Ryan Lopopolo, OpenAI","驾驭工程：人类当主管，智能体敲代码，如何重塑软件开发|Ryan Lopopolo, OpenAI",1,,"N:\C\Youtube\downloads\视频资料最终合集_最终修正版_20260805_1215\驾驭工程\字幕\Harness Engineering How to Build Software When Humans Steer, Agents Execute — Ryan Lopopolo, OpenAI - AI Engineer (1080p, h264, youtube)_final.srt"
